ticker,experiment_id,feature_profile,lags,data_rows,data_start,data_end,best_learned_model,best_learned_rmse,best_learned_directional_accuracy,best_learned_minus_baseline_rmse,walk_forward_fold_count,holdout_baseline_persistence_rmse,holdout_baseline_persistence_directional_accuracy,walk_forward_baseline_persistence_rmse,walk_forward_baseline_persistence_directional_accuracy,holdout_ridge_regression_rmse,holdout_ridge_regression_directional_accuracy,walk_forward_ridge_regression_rmse,walk_forward_ridge_regression_directional_accuracy,holdout_decision_tree_rmse,holdout_decision_tree_directional_accuracy,walk_forward_decision_tree_rmse,walk_forward_decision_tree_directional_accuracy,holdout_random_forest_rmse,holdout_random_forest_directional_accuracy,walk_forward_random_forest_rmse,walk_forward_random_forest_directional_accuracy
DOU.DE,technical_basic_lag5,technical_basic,5,531,2024-03-22,2026-04-29,ridge_regression,0.26919364700968473,0.45751633986928103,0.001431195319187284,5,0.28677378856098473,0.0784313725490196,0.26776245169049745,0.11764705882352941,0.28523545765294206,0.5,0.26919364700968473,0.45751633986928103,0.3534013007628625,0.43137254901960786,0.3584475945594778,0.39869281045751637,0.2962619232113591,0.4019607843137255,0.28959561685409135,0.39869281045751637
AAPL,lag_only_lag5,lag_only,5,9148,1990-01-02,2026-04-29,random_forest,2.3866268798760233,0.5299051787016776,-0.0031231924180072923,5,2.8961626264389917,0.002186987424822307,2.3897500722940306,0.002188183807439825,2.9720207095997857,0.48059048660470205,2.3987597222005568,0.5076586433260394,2.9310602924974596,0.5308911973756151,2.4223279205506785,0.526258205689278,2.8989472666607266,0.5363586659376709,2.3866268798760233,0.5299051787016776
TSLA,lag_only_lag5,lag_only,5,3983,2010-06-29,2026-04-29,ridge_regression,10.468450405698851,0.5171835708298408,0.015308118439241625,5,10.309411962240068,0.0,10.45314228725961,0.0008382229673093043,10.304656030665882,0.5087939698492462,10.468450405698851,0.5171835708298408,11.2058935899458,0.5163316582914573,11.355692320776708,0.5155071248952221,11.268926582722225,0.49874371859296485,10.638669529416763,0.5180217937971501
