ticker,forecast_generated_at,data_until,forecast_model,forecast_model_label,selected_model,available_models,model_metrics,last_close_date,last_close,next_forecast_date,next_predicted_close,next_predicted_change_pct,forecast_end_date,forecast_end_close,forecast_horizon_change_pct,forecast_days,forecast_horizon_days,average_recent_rsi,average_forecast_slope,average_forecast_distance_to_last_close,average_forecast_distance_pct_to_last_close,feature_profile,feature_profile_label,holdout_best_model,walk_forward_best_model,walk_forward_best_rmse,walk_forward_baseline_rmse,walk_forward_best_directional_accuracy,beats_baseline_rmse,data_start,data_end
AAPL,2026-06-28T15:08:14,2026-06-26,ridge_regression,Ridge Regression,"{'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline'}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree'}, {'model_key': 'random_forest', 'model_label': 'Random Forest'}]","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 283.7799987792969, 'next_predicted_change_pct': 0.0, 'holdout_mae': 2.048729446228094, 'holdout_rmse': 2.989544687557655, 'holdout_directional_accuracy': 0.0021810250817884407, 'walk_forward_mae': 1.499228116122159, 'walk_forward_rmse': 2.465885096789709, 'walk_forward_directional_accuracy': 0.002181818181818182, 'walk_forward_rmse_gap_vs_baseline': 0.0, 'walk_forward_mae_gap_vs_baseline': 0.0, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.0, 'holdout_rmse_gap_vs_baseline': 0.0, 'holdout_mae_gap_vs_baseline': 0.0}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression', 'is_selected': True, 'has_next_step_prediction': True, 'next_predicted_close': 281.3569177440745, 'next_predicted_change_pct': -0.8538589913473338, 'holdout_mae': 2.175871318650453, 'holdout_rmse': 3.107335094030272, 'holdout_directional_accuracy': 0.4787350054525627, 'walk_forward_mae': 1.5080541039480204, 'walk_forward_rmse': 2.4673231495145145, 'walk_forward_directional_accuracy': 0.5098181818181818, 'walk_forward_rmse_gap_vs_baseline': 0.001438052724805683, 'walk_forward_mae_gap_vs_baseline': 0.008825987825861414, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5076363636363637, 'holdout_rmse_gap_vs_baseline': 0.11779040647261718, 'holdout_mae_gap_vs_baseline': 0.1271418724223592}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 284.1324438398771, 'next_predicted_change_pct': 0.1241965825979019, 'holdout_mae': 2.064440969128796, 'holdout_rmse': 3.0249880640799724, 'holdout_directional_accuracy': 0.5283533260632497, 'walk_forward_mae': 1.5085712641713789, 'walk_forward_rmse': 2.4897415598661565, 'walk_forward_directional_accuracy': 0.5236363636363637, 'walk_forward_rmse_gap_vs_baseline': 0.02385646307644773, 'walk_forward_mae_gap_vs_baseline': 0.009343148049219874, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5214545454545455, 'holdout_rmse_gap_vs_baseline': 0.03544337652231766, 'holdout_mae_gap_vs_baseline': 0.015711522900702324}, {'model_key': 'random_forest', 'model_label': 'Random Forest', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 283.37926886425873, 'next_predicted_change_pct': -0.1412114725357405, 'holdout_mae': 2.051236741429087, 'holdout_rmse': 3.0039924397747746, 'holdout_directional_accuracy': 0.5343511450381679, 'walk_forward_mae': 1.4995509539067342, 'walk_forward_rmse': 2.4682092027752747, 'walk_forward_directional_accuracy': 0.5290909090909091, 'walk_forward_rmse_gap_vs_baseline': 0.002324105985565872, 'walk_forward_mae_gap_vs_baseline': 0.00032283778457520285, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5269090909090909, 'holdout_rmse_gap_vs_baseline': 0.014447752217119803, 'holdout_mae_gap_vs_baseline': 0.0025072952009930205}]",2026-06-26,283.7799987792969,2026-06-29,281.3569177440745,-0.8538589913473338,2026-07-03,272.24756552091844,-4.063864017191543,5,5,32.33445682044436,-2.2773380557890164,7.2915690007312834,2.5694442991389703,technical_extended,Technical Extended,random_forest,ridge_regression,2.4673231495145145,2.465885096789709,0.5098181818181818,False,1990-01-02,2026-06-26
TSLA,2026-06-28T15:04:50,2026-06-26,ridge_regression,Ridge Regression,"{'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline'}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree'}, {'model_key': 'random_forest', 'model_label': 'Random Forest'}]","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 379.7099914550781, 'next_predicted_change_pct': 0.0, 'holdout_mae': 7.676891674560852, 'holdout_rmse': 10.518453739594607, 'holdout_directional_accuracy': 0.0, 'walk_forward_mae': 7.742083918253581, 'walk_forward_rmse': 10.606103919160146, 'walk_forward_directional_accuracy': 0.0008333333333333334, 'walk_forward_rmse_gap_vs_baseline': 0.0, 'walk_forward_mae_gap_vs_baseline': 0.0, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.0, 'holdout_rmse_gap_vs_baseline': 0.0, 'holdout_mae_gap_vs_baseline': 0.0}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression', 'is_selected': True, 'has_next_step_prediction': True, 'next_predicted_close': 377.4593128562535, 'next_predicted_change_pct': -0.5927362064400366, 'holdout_mae': 7.69655691259094, 'holdout_rmse': 10.522215310029477, 'holdout_directional_accuracy': 0.529338327091136, 'walk_forward_mae': 7.7428492272914236, 'walk_forward_rmse': 10.632633135192744, 'walk_forward_directional_accuracy': 0.5441666666666667, 'walk_forward_rmse_gap_vs_baseline': 0.026529216032598057, 'walk_forward_mae_gap_vs_baseline': 0.0007653090378427763, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5433333333333333, 'holdout_rmse_gap_vs_baseline': 0.0037615704348699097, 'holdout_mae_gap_vs_baseline': 0.019665238030087906}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 380.10718892225145, 'next_predicted_change_pct': 0.1046054821078668, 'holdout_mae': 7.823999564205857, 'holdout_rmse': 10.824715661551526, 'holdout_directional_accuracy': 0.5093632958801498, 'walk_forward_mae': 7.935628298554484, 'walk_forward_rmse': 10.882086101165871, 'walk_forward_directional_accuracy': 0.5075, 'walk_forward_rmse_gap_vs_baseline': 0.2759821820057251, 'walk_forward_mae_gap_vs_baseline': 0.19354438030090293, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5066666666666666, 'holdout_rmse_gap_vs_baseline': 0.3062619219569189, 'holdout_mae_gap_vs_baseline': 0.14710788964500487}, {'model_key': 'random_forest', 'model_label': 'Random Forest', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 375.36403959006395, 'next_predicted_change_pct': -1.1445450377431832, 'holdout_mae': 7.948947607564784, 'holdout_rmse': 10.847946353930137, 'holdout_directional_accuracy': 0.529338327091136, 'walk_forward_mae': 7.786462026082097, 'walk_forward_rmse': 10.701044431570924, 'walk_forward_directional_accuracy': 0.5341666666666667, 'walk_forward_rmse_gap_vs_baseline': 0.09494051241077806, 'walk_forward_mae_gap_vs_baseline': 0.04437810782851592, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5333333333333333, 'holdout_rmse_gap_vs_baseline': 0.3294926143355301, 'holdout_mae_gap_vs_baseline': 0.2720559330039318}]",2026-06-26,379.7099914550781,2026-06-29,377.4593128562535,-0.5927362064400366,2026-07-03,372.8439918845543,-1.8082219917924136,5,5,39.859578209865404,-1.1538302429247977,4.4403664186029115,1.1694099493108103,technical_extended,Technical Extended,ridge_regression,ridge_regression,10.632633135192744,10.606103919160146,0.5441666666666667,False,2010-06-29,2026-06-26
DOU.DE,2026-06-28T15:03:26,2026-06-26,ridge_regression,Ridge Regression,"{'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline'}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree'}, {'model_key': 'random_forest', 'model_label': 'Random Forest'}]","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 8.0, 'next_predicted_change_pct': 0.0, 'holdout_mae': 0.16918917819186374, 'holdout_rmse': 0.2353069440654492, 'holdout_directional_accuracy': 0.04504504504504504, 'walk_forward_mae': 0.19090907356955789, 'walk_forward_rmse': 0.2559687243653356, 'walk_forward_directional_accuracy': 0.03636363636363636, 'walk_forward_rmse_gap_vs_baseline': 0.0, 'walk_forward_mae_gap_vs_baseline': 0.0, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.0, 'holdout_rmse_gap_vs_baseline': 0.0, 'holdout_mae_gap_vs_baseline': 0.0}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression', 'is_selected': True, 'has_next_step_prediction': True, 'next_predicted_close': 8.013748394125843, 'next_predicted_change_pct': 0.17185492657303403, 'holdout_mae': 0.17175451527857433, 'holdout_rmse': 0.23667255406734017, 'holdout_directional_accuracy': 0.5225225225225225, 'walk_forward_mae': 0.19645107928830333, 'walk_forward_rmse': 0.26007348723378626, 'walk_forward_directional_accuracy': 0.4666666666666667, 'walk_forward_rmse_gap_vs_baseline': 0.004104762868450684, 'walk_forward_mae_gap_vs_baseline': 0.005542005718745441, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.4303030303030303, 'holdout_rmse_gap_vs_baseline': 0.0013656100018909767, 'holdout_mae_gap_vs_baseline': 0.002565337086710584}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 8.063763395327271, 'next_predicted_change_pct': 0.7970424415908894, 'holdout_mae': 0.2300015971794344, 'holdout_rmse': 0.30186708557296316, 'holdout_directional_accuracy': 0.4594594594594595, 'walk_forward_mae': 0.21975810110884794, 'walk_forward_rmse': 0.29893418861594867, 'walk_forward_directional_accuracy': 0.5151515151515151, 'walk_forward_rmse_gap_vs_baseline': 0.042965464250613095, 'walk_forward_mae_gap_vs_baseline': 0.028849027539290056, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.47878787878787876, 'holdout_rmse_gap_vs_baseline': 0.06656014150751396, 'holdout_mae_gap_vs_baseline': 0.06081241898757067}, {'model_key': 'random_forest', 'model_label': 'Random Forest', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 8.068422439067591, 'next_predicted_change_pct': 0.8552804883448895, 'holdout_mae': 0.18422890922542767, 'holdout_rmse': 0.24910864269188168, 'holdout_directional_accuracy': 0.4774774774774775, 'walk_forward_mae': 0.19481947239873126, 'walk_forward_rmse': 0.26173753036404196, 'walk_forward_directional_accuracy': 0.503030303030303, 'walk_forward_rmse_gap_vs_baseline': 0.005768805998706383, 'walk_forward_mae_gap_vs_baseline': 0.003910398829173378, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.4666666666666667, 'holdout_rmse_gap_vs_baseline': 0.01380169862643249, 'holdout_mae_gap_vs_baseline': 0.01503973103356393}]",2026-06-26,8.0,2026-06-29,8.013748394125843,0.17185492657303403,2026-07-03,8.102225191607188,1.277814895089846,5,5,23.853754044895368,0.02211919937033624,0.0699656406060452,0.874570507575565,technical_extended,Technical Extended,ridge_regression,ridge_regression,0.26007348723378626,0.2559687243653356,0.4666666666666667,False,2024-03-21,2026-06-26
MSFT,2026-06-28T15:02:37,2026-06-26,random_forest,Random Forest,"{'model_key': 'random_forest', 'model_label': 'Random Forest'}","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline'}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree'}, {'model_key': 'random_forest', 'model_label': 'Random Forest'}]","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 372.9700012207031, 'next_predicted_change_pct': 0.0, 'holdout_mae': 3.7149947321401946, 'holdout_rmse': 5.327091565101015, 'holdout_directional_accuracy': 0.0021810250817884407, 'walk_forward_mae': 2.7330219199440697, 'walk_forward_rmse': 4.403223231332275, 'walk_forward_directional_accuracy': 0.005090909090909091, 'walk_forward_rmse_gap_vs_baseline': 0.0, 'walk_forward_mae_gap_vs_baseline': 0.0, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.0, 'holdout_rmse_gap_vs_baseline': 0.0, 'holdout_mae_gap_vs_baseline': 0.0}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 370.186452790317, 'next_predicted_change_pct': -0.7463196560784424, 'holdout_mae': 4.293354968443836, 'holdout_rmse': 5.865377832093234, 'holdout_directional_accuracy': 0.4743729552889858, 'walk_forward_mae': 2.7819319164264313, 'walk_forward_rmse': 4.425865356546532, 'walk_forward_directional_accuracy': 0.47163636363636363, 'walk_forward_rmse_gap_vs_baseline': 0.022642125214257014, 'walk_forward_mae_gap_vs_baseline': 0.048909996482361606, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.46654545454545454, 'holdout_rmse_gap_vs_baseline': 0.5382862669922188, 'holdout_mae_gap_vs_baseline': 0.5783602363036415}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 372.0876065946335, 'next_predicted_change_pct': -0.2365859514657065, 'holdout_mae': 3.7350754247213263, 'holdout_rmse': 5.3478207956010495, 'holdout_directional_accuracy': 0.5218102508178845, 'walk_forward_mae': 2.7650429984380906, 'walk_forward_rmse': 4.491642228487811, 'walk_forward_directional_accuracy': 0.5323636363636364, 'walk_forward_rmse_gap_vs_baseline': 0.0884189971555358, 'walk_forward_mae_gap_vs_baseline': 0.032021078494020916, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5272727272727272, 'holdout_rmse_gap_vs_baseline': 0.02072923050003439, 'holdout_mae_gap_vs_baseline': 0.020080692581131654}, {'model_key': 'random_forest', 'model_label': 'Random Forest', 'is_selected': True, 'has_next_step_prediction': True, 'next_predicted_close': 373.8234223006492, 'next_predicted_change_pct': 0.2288176199568115, 'holdout_mae': 3.7088398909841866, 'holdout_rmse': 5.311787888725017, 'holdout_directional_accuracy': 0.5283533260632497, 'walk_forward_mae': 2.725352272925589, 'walk_forward_rmse': 4.3819037455516545, 'walk_forward_directional_accuracy': 0.5221818181818182, 'walk_forward_rmse_gap_vs_baseline': -0.021319485780620262, 'walk_forward_mae_gap_vs_baseline': -0.007669647018480941, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.517090909090909, 'holdout_rmse_gap_vs_baseline': -0.015303676375998165, 'holdout_mae_gap_vs_baseline': -0.006154841156007951}]",2026-06-26,372.9700012207031,2026-06-29,373.8234223006492,0.2288176199568115,2026-07-03,372.9117814260201,-0.015609779470859841,5,5,18.13025940007386,-0.22791021865727146,0.44337416680463093,0.11887662958240613,technical_extended,Technical Extended,random_forest,random_forest,4.3819037455516545,4.403223231332275,0.5221818181818182,True,1990-01-02,2026-06-26
ENR.DE,2026-06-28T15:03:14,2026-06-26,ridge_regression,Ridge Regression,"{'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline'}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression'}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree'}, {'model_key': 'random_forest', 'model_label': 'Random Forest'}]","[{'model_key': 'baseline_persistence', 'model_label': 'Persistence-Baseline', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 153.9199981689453, 'next_predicted_change_pct': 0.0, 'holdout_mae': 2.9372316512269543, 'holdout_rmse': 3.9687485775945044, 'holdout_directional_accuracy': 0.0034602076124567475, 'walk_forward_mae': 2.479999895449038, 'walk_forward_rmse': 3.4895987438596023, 'walk_forward_directional_accuracy': 0.004629629629629629, 'walk_forward_rmse_gap_vs_baseline': 0.0, 'walk_forward_mae_gap_vs_baseline': 0.0, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.0, 'holdout_rmse_gap_vs_baseline': 0.0, 'holdout_mae_gap_vs_baseline': 0.0}, {'model_key': 'ridge_regression', 'model_label': 'Ridge Regression', 'is_selected': True, 'has_next_step_prediction': True, 'next_predicted_close': 153.4608146996091, 'next_predicted_change_pct': -0.2983260621093553, 'holdout_mae': 2.9363978416864267, 'holdout_rmse': 3.9262340845403294, 'holdout_directional_accuracy': 0.5432525951557093, 'walk_forward_mae': 2.4970125711985256, 'walk_forward_rmse': 3.4758424346694787, 'walk_forward_directional_accuracy': 0.5208333333333334, 'walk_forward_rmse_gap_vs_baseline': -0.013756309190123606, 'walk_forward_mae_gap_vs_baseline': 0.017012675749487727, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5162037037037037, 'holdout_rmse_gap_vs_baseline': -0.042514493054174984, 'holdout_mae_gap_vs_baseline': -0.0008338095405275858}, {'model_key': 'decision_tree', 'model_label': 'Decision Tree', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 153.9879305723214, 'next_predicted_change_pct': 0.044134877978319054, 'holdout_mae': 3.2058691246183493, 'holdout_rmse': 4.334460959442708, 'holdout_directional_accuracy': 0.5259515570934256, 'walk_forward_mae': 2.5990539198080747, 'walk_forward_rmse': 3.686780048468894, 'walk_forward_directional_accuracy': 0.5162037037037037, 'walk_forward_rmse_gap_vs_baseline': 0.19718130460929162, 'walk_forward_mae_gap_vs_baseline': 0.11905402435903678, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.5115740740740741, 'holdout_rmse_gap_vs_baseline': 0.365712381848204, 'holdout_mae_gap_vs_baseline': 0.268637473391395}, {'model_key': 'random_forest', 'model_label': 'Random Forest', 'is_selected': False, 'has_next_step_prediction': True, 'next_predicted_close': 152.3465276105351, 'next_predicted_change_pct': -1.0222651878433187, 'holdout_mae': 3.194028702258978, 'holdout_rmse': 4.195080947795139, 'holdout_directional_accuracy': 0.42214532871972316, 'walk_forward_mae': 2.5489302563146765, 'walk_forward_rmse': 3.568220223435187, 'walk_forward_directional_accuracy': 0.4976851851851852, 'walk_forward_rmse_gap_vs_baseline': 0.07862147957558463, 'walk_forward_mae_gap_vs_baseline': 0.06893036086563864, 'walk_forward_directional_accuracy_gap_vs_baseline': 0.4930555555555555, 'holdout_rmse_gap_vs_baseline': 0.2263323702006348, 'holdout_mae_gap_vs_baseline': 0.25679705103202366}]",2026-06-26,153.9199981689453,2026-06-29,153.4608146996091,-0.2983260621093553,2026-07-03,152.8482001947801,-0.6963344509585911,5,5,52.74382698291898,-0.15315362620724926,0.5975879433745149,0.38824580982556395,technical_extended,Technical Extended,ridge_regression,ridge_regression,3.4758424346694787,3.4895987438596023,0.5208333333333334,True,2020-09-29,2026-06-26
