rank,ticker,ranking_score,forecast_model,forecast_model_label,feature_profile,feature_profile_label,last_close,next_predicted_change_pct,forecast_horizon_change_pct,average_forecast_distance_to_last_close,average_forecast_distance_pct_to_last_close,walk_forward_best_directional_accuracy,walk_forward_best_rmse,walk_forward_baseline_rmse,relative_rmse_pct,relative_gap_vs_baseline_pct,average_recent_rsi,beats_baseline_rmse
1,MSFT,78.91227366645354,random_forest,Random Forest,technical_extended,Technical Extended,372.9700012207031,0.2288176199568115,-0.015609779470859841,0.44337416680463093,0.11887662958240613,0.5221818181818182,4.3819037455516545,4.403223231332275,1.1748676116604577,-0.005716139558367474,18.13025940007386,True
2,ENR.DE,64.17916839806314,ridge_regression,Ridge Regression,technical_extended,Technical Extended,153.9199981689453,-0.2983260621093553,-0.6963344509585911,0.5975879433745149,0.38824580982556395,0.5208333333333334,3.4758424346694787,3.4895987438596023,2.2582136668520048,-0.008937311170589046,52.74382698291898,True
3,TSLA,55.14434415479709,ridge_regression,Ridge Regression,technical_extended,Technical Extended,379.7099914550781,-0.5927362064400366,-1.8082219917924136,4.4403664186029115,1.1694099493108103,0.5441666666666667,10.632633135192744,10.606103919160146,2.8001984078553397,0.006986704756157732,39.859578209865404,False
4,DOU.DE,45.0,ridge_regression,Ridge Regression,technical_extended,Technical Extended,8.0,0.17185492657303403,1.277814895089846,0.0699656406060452,0.874570507575565,0.4666666666666667,0.26007348723378626,0.2559687243653356,3.2509185904223283,0.05130953585563355,23.853754044895368,False
5,AAPL,42.35228267344322,ridge_regression,Ridge Regression,technical_extended,Technical Extended,283.7799987792969,-0.8538589913473338,-4.063864017191543,7.2915690007312834,2.5694442991389703,0.5098181818181818,2.4673231495145145,2.465885096789709,0.8694492776544891,0.0005067491475761454,32.33445682044436,False
