experiment_id,basket_preset,tickers,ticker_count,feature_profile,lags,shared_model_name,shared_model_label,shared_model_rmse,shared_model_directional_accuracy,baseline_rmse,shared_model_minus_baseline_rmse,mean_best_learned_rmse,mean_forecast_horizon_change_pct,mean_average_forecast_distance_pct_to_last_close,top_forecast_ticker,top_forecast_horizon_change_pct
mixed_assets__technical_basic__lag5,mixed_assets,"AAPL,MSFT,NVDA,SPY,QQQ,VTI",6,technical_basic,5,random_forest,Random Forest,3.365636085392292,0.5410575048732943,3.3773932214348976,-0.01175713604260542,3.1893885700551916,0.29878402196227655,0.17926629341668163,NVDA,0.3020580979588905
mixed_assets__technical_extended__lag5,mixed_assets,"AAPL,MSFT,NVDA,SPY,QQQ,VTI",6,technical_extended,5,random_forest,Random Forest,3.366400649423979,0.5419103313840156,3.3773932214348976,-0.010992572010918522,3.1891498936002862,0.3032101645731126,0.18158684746033274,MSFT,0.3090934403419121
mixed_assets__technical_basic__lag10,mixed_assets,"AAPL,MSFT,NVDA,SPY,QQQ,VTI",6,technical_basic,10,random_forest,Random Forest,3.3674017287355755,0.5403874269005848,3.3773932214348976,-0.009991492699322091,3.18791085397787,0.2991229152967123,0.17929359092665145,VTI,0.30632867563245014
mixed_assets__technical_extended__lag10,mixed_assets,"AAPL,MSFT,NVDA,SPY,QQQ,VTI",6,technical_extended,10,random_forest,Random Forest,3.3677117223139934,0.5418494152046783,3.3773932214348976,-0.009681499120904213,3.1898709578277136,0.30016153392739,0.17954377019504722,QQQ,0.3065457430512897
etf_core__technical_extended__lag5,etf_core,"SPY,QQQ,VTI,IWM,DIA",5,technical_extended,5,ridge_regression,Ridge Regression,3.501885091212541,0.5103117505995204,3.50947135718972,-0.007586265977178819,3.3784091124482445,-0.1053987328266337,0.06995896697411,IWM,-0.0008109426576918821
etf_core__technical_basic__lag5,etf_core,"SPY,QQQ,VTI,IWM,DIA",5,technical_basic,5,ridge_regression,Ridge Regression,3.5025858190510815,0.4909672262190248,3.50947135718972,-0.0068855381386385694,3.3805896468886245,0.3525838233794376,0.2169709306449767,QQQ,0.5204541593387235
etf_core__technical_extended__lag10,etf_core,"SPY,QQQ,VTI,IWM,DIA",5,technical_extended,10,ridge_regression,Ridge Regression,3.507000415001856,0.5038369304556355,3.50947135718972,-0.0024709421878639226,3.384878226584091,-0.1434012224655734,0.08784353375778915,IWM,-0.01496873951541966
etf_core__technical_basic__lag10,etf_core,"SPY,QQQ,VTI,IWM,DIA",5,technical_basic,10,ridge_regression,Ridge Regression,3.509297949182291,0.492326139088729,3.50947135718972,-0.00017340800742893236,3.386977838911485,0.3667683001534128,0.22854879728804328,QQQ,0.547376799028032
