basket_preset,experiment_id,tickers,ticker_count,feature_profile,lags,shared_model_name,shared_model_label,shared_model_rmse,shared_model_directional_accuracy,baseline_rmse,shared_model_minus_baseline_rmse,mean_best_learned_rmse,mean_forecast_horizon_change_pct,mean_average_forecast_distance_pct_to_last_close,top_forecast_ticker,top_forecast_horizon_change_pct
mixed_assets,mixed_assets__technical_basic__lag5,"AAPL,MSFT,NVDA,SPY,QQQ,VTI",6,technical_basic,5,random_forest,Random Forest,3.365636085392292,0.5410575048732943,3.3773932214348976,-0.01175713604260542,3.1893885700551916,0.29878402196227655,0.17926629341668163,NVDA,0.3020580979588905
etf_core,etf_core__technical_extended__lag5,"SPY,QQQ,VTI,IWM,DIA",5,technical_extended,5,ridge_regression,Ridge Regression,3.501885091212541,0.5103117505995204,3.50947135718972,-0.007586265977178819,3.3784091124482445,-0.1053987328266337,0.06995896697411,IWM,-0.0008109426576918821
